,stock,avg_volume,volatility,pc_change,trend_consistency,avg_close,avg_open,avg_high,avg_low,momentum_1m,momentum_3m,momentum_6m,momentum_1y,sector_Basic_Materials,sector_Consumer_Discretionary,sector_Consumer_Staples,sector_Energy,sector_Finance,sector_Healthcare,sector_Industrials,sector_Real_Estate,sector_Technology,sector_Telecommunications,sector_Utilities
10,AMZN,0.15369879476754003,0.2249164448040798,0.7900207431415617,0.7506029645162892,0.587710818209395,0.5875037808538263,0.587142577877704,0.5881394460859026,0.6492962345525488,0.13949159992437293,0.5302226651121341,0.7905002953399081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BKNG,0.0007949321169308271,0.2464904110433242,0.8266165763914519,0.8202714621849142,1.0,1.0,0.9999999999999999,1.0000000000000002,0.0,1.0000000000000002,1.0,0.42079082826898156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,COST,0.005028738078480441,0.12816158160263874,0.8540300435520374,0.9258377586522616,0.7702485204799984,0.7700574057034456,0.769363909165967,0.7709542740163133,0.6748062204859204,0.14562810991598937,0.5818686833555043,0.7910609156312061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CTAS,0.004027435250608326,0.1729676523616694,0.832359532313557,0.8793784497867999,0.551089100492627,0.5507851973029755,0.5499837738531658,0.5519838304162759,0.6562482335964703,0.16874412110973308,0.608094458193216,0.8229962777660245,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,MAR,0.005257710439958789,0.3088620061854842,0.8061741986631834,0.8347560822932841,0.6077087685153689,0.6074437525734621,0.6071426821877732,0.6080886208192393,0.6506681648460262,0.2339329364538482,0.6922415620054865,0.8289840513632312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,MELI,0.0011341796797286617,0.4457096901681675,0.7987457408575686,0.8494328698326107,0.9022318734937411,0.9022886865431033,0.9029460999364111,0.9014336233672313,0.42732622223011774,0.25702898275939773,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NFLX,0.014237929607061802,0.30313388046682604,0.8629873048593538,0.7848762753661521,0.7548282126669367,0.7546508291310455,0.7547540546642322,0.7547716336522976,0.5472404941246392,0.08913341574166887,0.3904228899704826,0.7028713116266277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,PDD,0.0218540220258566,0.567846682881752,0.843669655617769,0.720672724775682,0.523726735522435,0.5235005367593529,0.5247424280377826,0.5227275370819504,0.665879220796,0.15087971340608763,0.5414639181502284,0.7495512721442283,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,SBUX,0.018561768118944163,0.1724110455074333,0.7972710261374047,0.7141355211494022,0.5263482499551141,0.5260550515986553,0.5253483659125506,0.5271870544794561,0.6617909555294286,0.17622744688742834,0.6282812832423023,0.8209640734115157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,TSLA,0.28193564226963774,0.5495747106411898,0.8568044798756249,0.764181099149632,0.639493360860478,0.6393326100679126,0.6405121140395275,0.638288432825096,0.6375629102093683,0.13262636335716865,0.530407656468696,0.6768078314221259,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,CCEP,0.002903126246400972,0.18749790935695626,0.8289431894208366,0.7472352863457566,0.45220654738279586,0.45179627001810796,0.4510924575846047,0.45312147457881785,0.6737149868539203,0.16225691905167308,0.6301412874220605,0.8402278594059759,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,CELH,0.008451815888207165,0.7553491767033386,0.938390248016122,0.7239566721372407,0.36131068399349486,0.3609877666186506,0.36269150031572983,0.35969761925177984,0.6771363934037042,0.148079206024314,0.6078603359075948,0.8303361444632013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,COKE,8.445845895696635e-05,0.3214348890534083,0.813831738367076,0.7044057297056364,0.7805791325291036,0.7804165592372587,0.7804948907613607,0.7805942339795475,0.6483195547128858,0.2416870098434573,0.6590255680984619,0.8199733569361273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,KDP,0.015734255349616665,0.14516432005587143,0.7760276571884216,0.7371958929964372,0.3759257770396812,0.37555991131535726,0.37455189947648937,0.37711482468807905,0.6828173147113353,0.1538507853693918,0.6110340211720833,0.8389107815634287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,KHC,0.016144775005816993,0.16576347179279338,0.8224032193943065,0.7848762753661521,0.3860735980609371,0.3856533147181077,0.3848322989885974,0.3870805100459373,0.6779446653402155,0.15799736473856837,0.6071099540704259,0.836645700049715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MDLZ,0.015288089605899429,0.10841777338954658,0.7795275195232224,0.7405318007760217,0.4692201104281022,0.4689136316432694,0.467873838953325,0.4704175457136352,0.6736526075749844,0.1531105236486529,0.6147931941439204,0.8398623889669036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MNST,0.011689958767134884,0.15768959512142294,0.7850183262725702,0.7506029645162892,0.42488807902391357,0.42455393299879574,0.42371301633434844,0.42587344499811447,0.6690549115304363,0.15079243514555296,0.6045062986263118,0.8318914268292518,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,PEP,0.011207483319363647,0.10794456286047815,0.7857278438186253,0.8131000393417002,0.6029656036819275,0.602749601504669,0.6017407554220191,0.6040533308455136,0.6813660375713022,0.16415237478507805,0.6177542372057375,0.8387470613005541,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,PPC,0.0018768069906193834,0.25436019815640204,0.7685968131130331,0.7371958929964372,0.34437644790792576,0.34398011623576663,0.34362602990626373,0.34497379246449195,0.6785950046511928,0.16689266228035787,0.6312682879531807,0.8463486057977424,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,WBA,0.020486244669330043,0.2824124727179511,0.6770849581370861,0.6357282812539894,0.38922161980254677,0.3889755851826826,0.38863250641668057,0.38977823271743856,0.686174087041906,0.1660569287237994,0.6340176664032515,0.845392305283541,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,APA,0.018794421752135415,0.5832427905280946,0.7077811370830631,0.617777333968573,0.3534019662046952,0.3531062514092055,0.35375034976348285,0.352960339998769,0.6315924198476734,0.1692703822155312,0.6295723856251587,0.8459641284121439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
